source,alpha,target,status
Estonia,MLT,Malta,VF
Estonia,MHL,Marshall Islands,VF
Estonia,MRT,Mauritania,ETA
Estonia,MUS,Mauritius,90
Estonia,MEX,Mexico,180
Estonia,FSM,Micronesia,90
Estonia,MDA,Moldova,90
Estonia,MCO,Monaco,VF
Estonia,MNG,Mongolia,ETA
Estonia,MNE,Montenegro,90
Estonia,MAR,Morocco,90
Estonia,MOZ,Mozambique,ETA
Estonia,MMR,Myanmar,ETA
Estonia,NAM,Namibia,VR
Estonia,NRU,Nauru,VR
Estonia,NPL,Nepal,ETA
Estonia,NLD,Netherlands,VF
Estonia,NZL,New Zealand,VOA
Estonia,NIC,Nicaragua,90
Estonia,NGA,Nigeria,ETA
Estonia,PRK,North Korea,VR
Estonia,MKD,Macedonia,90
Estonia,NOR,Norway,VF
Estonia,OMN,Oman,ETA
Estonia,PAK,Pakistan,VR
Estonia,PLW,Palau,90
Estonia,PAN,Panama,180
Estonia,PNG,Papua New Guinea,ETA
Estonia,PRY,Paraguay,90
Estonia,PER,Peru,90
Estonia,PHL,Philippines,30
Estonia,POL,Poland,VF
Estonia,PRT,Portugal,VF
Estonia,QAT,Qatar,90
Estonia,ROU,Romania,VF
Estonia,RUS,Russia,VR
Estonia,RWA,Rwanda,ETA
Estonia,KNA,Saint Kitts and Nevis,90
Estonia,LCA,Saint Lucia,90
Estonia,VCT,Saint Vincent and the Grenadines,90
Estonia,WSM,Samoa,90
Estonia,SMR,San Marino,VF
Estonia,STP,Sao Tome and Principe,VF
Estonia,SAU,Saudi Arabia,ETA
Estonia,SEN,Senegal,90
Estonia,SRB,Serbia,90
Estonia,SYC,Seychelles,ETA
Estonia,SLE,Sierra Leone,ETA
Estonia,SGP,Singapore,90
Estonia,SVK,Slovakia,VF
Estonia,SVN,Slovenia,VF
Estonia,SLB,Solomon Islands,90
Estonia,SOM,Somalia,ETA
Estonia,ZAF,South Africa,VR
Estonia,KOR,South Korea,90
Estonia,ESP,Spain,VF
Estonia,LKA,Sri Lanka,VOA
Estonia,SDN,Sudan,VR
Estonia,SUR,Suriname,ETA
Estonia,SWZ,Swaziland,30
Estonia,SWE,Sweden,VF
Estonia,CHE,Switzerland,VF
Estonia,SYR,Syria,VR
Estonia,TWN,Taiwan,90
Estonia,TJK,Tajikistan,ETA
Estonia,TZA,Tanzania,ETA
Estonia,THA,Thailand,30
Estonia,TLS,Timor-Leste,90
Estonia,TGO,Togo,ETA
Estonia,TON,Tonga,90
Estonia,TTO,Trinidad and Tobago,90
Estonia,TUN,Tunisia,90
Estonia,TUR,Turkey,90
Estonia,TKM,Turkmenistan,VR
Estonia,TUV,Tuvalu,90
Estonia,UGA,Uganda,ETA
Estonia,UKR,Ukraine,90
Estonia,ARE,United Arab Emirates,90
Estonia,GBR,UK,VF
Estonia,USA,USA,VOA
Estonia,URY,Uruguay,90
Estonia,UZB,Uzbekistan,30
Estonia,VUT,Vanuatu,90
Estonia,VAT,Vatican,VF
Estonia,VEN,Venezuela,90
Estonia,VNM,Vietnam,ETA
Estonia,YEM,Yemen,VR
Estonia,ZMB,Zambia,ETA
Estonia,ZWE,Zimbabwe,ETA
Ethiopia,AFG,Afghanistan,VR
Ethiopia,ALB,Albania,VR
Ethiopia,DZA,Algeria,VR
Ethiopia,AND,Andorra,VR
Ethiopia,AGO,Angola,VR
Ethiopia,ATG,Antigua and Barbuda,VR
Ethiopia,ARG,Argentina,VR
Ethiopia,ARM,Armenia,VR
Ethiopia,AUS,Australia,VR
Ethiopia,AUT,Austria,VR
Ethiopia,AZE,Azerbaijan,VR
Ethiopia,BHS,Bahamas,VR
Ethiopia,BHR,Bahrain,VR
Ethiopia,BGD,Bangladesh,ETA
Ethiopia,BRB,Barbados,90
Ethiopia,BLR,Belarus,VR
Ethiopia,BEL,Belgium,VR
Ethiopia,BLZ,Belize,VR
Ethiopia,BEN,Benin,90
Ethiopia,BTN,Bhutan,VR
Ethiopia,BOL,Bolivia,ETA
Ethiopia,BIH,Bosnia and Herzegovina,VR
Ethiopia,BWA,Botswana,VR
Ethiopia,BRA,Brazil,VR
Ethiopia,BRN,Brunei,VR
Ethiopia,BGR,Bulgaria,VR
Ethiopia,BFA,Burkina Faso,VR
Ethiopia,BDI,Burundi,VR
Ethiopia,KHM,Cambodia,ETA
Ethiopia,CMR,Cameroon,VR
Ethiopia,CAN,Canada,VR
Ethiopia,CPV,Cape Verde,ETA
Ethiopia,CAF,Central African Republic,VR
Ethiopia,TCD,Chad,VR
Ethiopia,CHL,Chile,VR
Ethiopia,CHN,China,VR
Ethiopia,COL,Colombia,VR
Ethiopia,COM,Comoros,ETA
Ethiopia,COG,Republic of Congo,VR
Ethiopia,CRI,Costa Rica,VR
Ethiopia,HRV,Croatia,VR
Ethiopia,CUB,Cuba,VR
Ethiopia,CYP,Cyprus,VR
Ethiopia,CZE,Czech Republic,VR
Ethiopia,COD,Democratic Republic of the Congo,VR
Ethiopia,DNK,Denmark,VR
Ethiopia,DJI,Djibouti,ETA
Ethiopia,DOM,Dominican Republic,VR
Ethiopia,ECU,Ecuador,VR
Ethiopia,EGY,Egypt,VR
Ethiopia,SLV,El Salvador,VR
Ethiopia,GNQ,Equatorial Guinea,VR
Ethiopia,ERI,Eritrea,ETA
Ethiopia,EST,Estonia,VR
Ethiopia,FJI,Fiji,VR
Ethiopia,FIN,Finland,VR
Ethiopia,FRA,France,VR
Ethiopia,GAB,Gabon,ETA
Ethiopia,GMB,Gambia,90
Ethiopia,GEO,Georgia,VR
Ethiopia,DEU,Germany,VR
Ethiopia,GHA,Ghana,ETA
Ethiopia,GRC,Greece,VR
Ethiopia,GRD,Grenada,VR
Ethiopia,GTM,Guatemala,VR
Ethiopia,GIN,Guinea,ETA
Ethiopia,GUY,Guyana,VR
Ethiopia,HTI,Haiti,90
Ethiopia,HND,Honduras,VR
Ethiopia,HKG,China:Hong Kong,VR
Ethiopia,HUN,Hungary,VR
Ethiopia,ISL,Iceland,VR
Ethiopia,IND,India,VR
Ethiopia,IDN,Indonesia,VR
Ethiopia,IRN,Iran,ETA
Ethiopia,IRQ,Iraq,VR
Ethiopia,IRL,Ireland,VR
Ethiopia,ISR,Israel,VR
Ethiopia,ITA,Italy,VR
Ethiopia,CIV,Ivory Coast,VOA
Ethiopia,JAM,Jamaica,VR
Ethiopia,JPN,Japan,VR
Ethiopia,JOR,Jordan,VR
Ethiopia,KAZ,Kazakhstan,VR
Ethiopia,KEN,Kenya,90
Ethiopia,KIR,Kiribati,VR
Ethiopia,KWT,Kuwait,VR
Ethiopia,KGZ,Kyrgyzstan,VR
Ethiopia,LAO,Laos,ETA
Ethiopia,LVA,Latvia,VR
Ethiopia,LBN,Lebanon,VR
Ethiopia,LSO,Lesotho,ETA
Ethiopia,LBR,Liberia,VR
Ethiopia,LBY,Libya,VR
Ethiopia,LIE,Liechtenstein,VR
Ethiopia,LTU,Lithuania,VR
Ethiopia,LUX,Luxembourg,VR
Ethiopia,MAC,China:Macao,ETA
Ethiopia,MDG,Madagascar,ETA
Ethiopia,MWI,Malawi,ETA
Ethiopia,MYS,Malaysia,VR
Ethiopia,MDV,Maldives,ETA
Ethiopia,MLI,Mali,VR
Ethiopia,MLT,Malta,VR
Ethiopia,MHL,Marshall Islands,VR
Ethiopia,MRT,Mauritania,ETA
Ethiopia,MUS,Mauritius,ETA
Ethiopia,MEX,Mexico,VR
Ethiopia,FSM,Micronesia,30
Ethiopia,MDA,Moldova,VR
Ethiopia,MCO,Monaco,VR
Ethiopia,MNG,Mongolia,VR
Ethiopia,MNE,Montenegro,VR
Ethiopia,MAR,Morocco,VR
Ethiopia,MOZ,Mozambique,ETA
Ethiopia,MMR,Myanmar,VR
Ethiopia,NAM,Namibia,VR
Ethiopia,NRU,Nauru,VR
Ethiopia,NPL,Nepal,VR
Ethiopia,NLD,Netherlands,VR
Ethiopia,NZL,New Zealand,VR
Ethiopia,NIC,Nicaragua,ETA
Ethiopia,NGA,Nigeria,ETA
Ethiopia,PRK,North Korea,VR
Ethiopia,MKD,Macedonia,VR
Ethiopia,NOR,Norway,VR
Ethiopia,OMN,Oman,VR
Ethiopia,PAK,Pakistan,VR
Ethiopia,PLW,Palau,ETA
Ethiopia,PAN,Panama,VR
Ethiopia,PNG,Papua New Guinea,VR
Ethiopia,PRY,Paraguay,VR
Ethiopia,PER,Peru,VR
Ethiopia,PHL,Philippines,30
Ethiopia,POL,Poland,VR
Ethiopia,PRT,Portugal,VR
Ethiopia,QAT,Qatar,ETA
Ethiopia,ROU,Romania,VR
Ethiopia,RUS,Russia,VR
Ethiopia,RWA,Rwanda,ETA
Ethiopia,KNA,Saint Kitts and Nevis,VR
Ethiopia,LCA,Saint Lucia,ETA
Ethiopia,VCT,Saint Vincent and the Grenadines,30
Ethiopia,WSM,Samoa,ETA
Ethiopia,SMR,San Marino,VR
Ethiopia,STP,Sao Tome and Principe,VR
Ethiopia,SAU,Saudi Arabia,VR
Ethiopia,SEN,Senegal,ETA
Ethiopia,SRB,Serbia,VR
Ethiopia,SYC,Seychelles,ETA
Ethiopia,SLE,Sierra Leone,VR
Ethiopia,SGP,Singapore,30
Ethiopia,SVK,Slovakia,VR
Ethiopia,SVN,Slovenia,VR
Ethiopia,SLB,Solomon Islands,VR
Ethiopia,SOM,Somalia,ETA
Ethiopia,ZAF,South Africa,VR
Ethiopia,KOR,South Korea,VR
Ethiopia,ESP,Spain,VR
Ethiopia,LKA,Sri Lanka,VOA
Ethiopia,SDN,Sudan,VR
Ethiopia,SUR,Suriname,ETA
Ethiopia,SWZ,Swaziland,VR
Ethiopia,SWE,Sweden,VR
Ethiopia,CHE,Switzerland,VR
Ethiopia,SYR,Syria,VR
Ethiopia,TWN,Taiwan,VR
Ethiopia,TJK,Tajikistan,VR
Ethiopia,TZA,Tanzania,VR
Ethiopia,THA,Thailand,ETA
Ethiopia,TLS,Timor-Leste,ETA
Ethiopia,TGO,Togo,ETA
Ethiopia,TON,Tonga,VR
Ethiopia,TTO,Trinidad and Tobago,VR
Ethiopia,TUN,Tunisia,VR
Ethiopia,TUR,Turkey,VR
Ethiopia,TKM,Turkmenistan,VR
Ethiopia,TUV,Tuvalu,ETA
Ethiopia,UGA,Uganda,ETA
Ethiopia,UKR,Ukraine,VR
Ethiopia,ARE,United Arab Emirates,VR
Ethiopia,GBR,UK,VR
Ethiopia,USA,USA,VR
Ethiopia,URY,Uruguay,VR
Ethiopia,UZB,Uzbekistan,VR
Ethiopia,VUT,Vanuatu,VR
Ethiopia,VAT,Vatican,VR
Ethiopia,VEN,Venezuela,90
Ethiopia,VNM,Vietnam,VR
Ethiopia,YEM,Yemen,VR
Ethiopia,ZMB,Zambia,VR
Ethiopia,ZWE,Zimbabwe,ETA
Fiji,AFG,Afghanistan,VR
Fiji,ALB,Albania,VR
Fiji,DZA,Algeria,VR
Fiji,AND,Andorra,VR
Fiji,AGO,Angola,VR
Fiji,ATG,Antigua and Barbuda,180
Fiji,ARG,Argentina,90
Fiji,ARM,Armenia,ETA
Fiji,AUS,Australia,VR
Fiji,AUT,Austria,VR
Fiji,AZE,Azerbaijan,VR
Fiji,BHS,Bahamas,90
Fiji,BHR,Bahrain,VR
Fiji,BGD,Bangladesh,90
Fiji,BRB,Barbados,180
Fiji,BLR,Belarus,VR
Fiji,BEL,Belgium,VR
Fiji,BLZ,Belize,VF
Fiji,BEN,Benin,VR
Fiji,BTN,Bhutan,VR
Fiji,BOL,Bolivia,ETA
Fiji,BIH,Bosnia and Herzegovina,VR
Fiji,BWA,Botswana,VR
Fiji,BRA,Brazil,90
Fiji,BRN,Brunei,VR
Fiji,BGR,Bulgaria,VR
Fiji,BFA,Burkina Faso,VR
Fiji,BDI,Burundi,VR
Fiji,KHM,Cambodia,ETA
Fiji,CMR,Cameroon,VR
Fiji,CAN,Canada,VR
Fiji,CPV,Cape Verde,ETA
Fiji,CAF,Central African Republic,VR
Fiji,TCD,Chad,VR
Fiji,CHL,Chile,90
Fiji,CHN,China,30
Fiji,COL,Colombia,90
Fiji,COM,Comoros,ETA
Fiji,COG,Republic of Congo,VR
Fiji,CRI,Costa Rica,90
Fiji,HRV,Croatia,VR
Fiji,CUB,Cuba,ETA
Fiji,CYP,Cyprus,VR
Fiji,CZE,Czech Republic,VR
Fiji,COD,Democratic Republic of the Congo,VR
Fiji,DNK,Denmark,VR
Fiji,DJI,Djibouti,ETA
Fiji,DOM,Dominican Republic,VF
Fiji,ECU,Ecuador,90
Fiji,EGY,Egypt,ETA
Fiji,SLV,El Salvador,90
Fiji,GNQ,Equatorial Guinea,VR
Fiji,ERI,Eritrea,VR
Fiji,EST,Estonia,VR
Fiji,ETH,Ethiopia,ETA
Fiji,FIN,Finland,VR
Fiji,FRA,France,VR
Fiji,GAB,Gabon,ETA
Fiji,GMB,Gambia,90
Fiji,GEO,Georgia,VR
Fiji,DEU,Germany,VR
Fiji,GHA,Ghana,VR
Fiji,GRC,Greece,VR
Fiji,GRD,Grenada,VR
Fiji,GTM,Guatemala,90
Fiji,GIN,Guinea,ETA
Fiji,GUY,Guyana,VR
Fiji,HTI,Haiti,90
Fiji,HND,Honduras,VR
Fiji,HKG,China:Hong Kong,90
Fiji,HUN,Hungary,VR
Fiji,ISL,Iceland,VR
Fiji,IND,India,VOA
Fiji,IDN,Indonesia,30
Fiji,IRN,Iran,ETA
Fiji,IRQ,Iraq,VR
Fiji,IRL,Ireland,VF
Fiji,ISR,Israel,90
Fiji,ITA,Italy,VR
Fiji,CIV,Ivory Coast,VOA
Fiji,JAM,Jamaica,VF
Fiji,JPN,Japan,VR
Fiji,JOR,Jordan,ETA
Fiji,KAZ,Kazakhstan,VR
Fiji,KEN,Kenya,90
Fiji,KIR,Kiribati,120
Fiji,KWT,Kuwait,VR
Fiji,KGZ,Kyrgyzstan,VR
Fiji,LAO,Laos,ETA
Fiji,LVA,Latvia,VR
Fiji,LBN,Lebanon,VR
Fiji,LSO,Lesotho,VF
Fiji,LBR,Liberia,VR
Fiji,LBY,Libya,VR
Fiji,LIE,Liechtenstein,VR
Fiji,LTU,Lithuania,VR
Fiji,LUX,Luxembourg,VR
Fiji,MAC,China:Macao,ETA
Fiji,MDG,Madagascar,ETA
Fiji,MWI,Malawi,90
Fiji,MYS,Malaysia,30
Fiji,MDV,Maldives,ETA
Fiji,MLI,Mali,VR
Fiji,MLT,Malta,VR
Fiji,MHL,Marshall Islands,ETA
Fiji,MRT,Mauritania,ETA
Fiji,MUS,Mauritius,90
Fiji,MEX,Mexico,VR
Fiji,FSM,Micronesia,30
Fiji,MDA,Moldova,VR
Fiji,MCO,Monaco,VR
Fiji,MNG,Mongolia,VR
Fiji,MNE,Montenegro,VR
Fiji,MAR,Morocco,VR
Fiji,MOZ,Mozambique,ETA
Fiji,MMR,Myanmar,ETA
Fiji,NAM,Namibia,VR
Fiji,NRU,Nauru,ETA
Fiji,NPL,Nepal,ETA
Fiji,NLD,Netherlands,VR
Fiji,NZL,New Zealand,VR
Fiji,NIC,Nicaragua,90
Fiji,NGA,Nigeria,ETA
Fiji,PRK,North Korea,VR
Fiji,MKD,Macedonia,VR
Fiji,NOR,Norway,VR
Fiji,OMN,Oman,VR
Fiji,PAK,Pakistan,VR
Fiji,PLW,Palau,ETA
Fiji,PAN,Panama,180
Fiji,PNG,Papua New Guinea,ETA
Fiji,PRY,Paraguay,VR
Fiji,PER,Peru,180
Fiji,PHL,Philippines,30
Fiji,POL,Poland,VR
Fiji,PRT,Portugal,VR
Fiji,QAT,Qatar,ETA
Fiji,ROU,Romania,VR
Fiji,RUS,Russia,90
Fiji,RWA,Rwanda,ETA
Fiji,KNA,Saint Kitts and Nevis,90
Fiji,LCA,Saint Lucia,42
Fiji,VCT,Saint Vincent and the Grenadines,30
Fiji,WSM,Samoa,ETA
Fiji,SMR,San Marino,VR
Fiji,STP,Sao Tome and Principe,VR
Fiji,SAU,Saudi Arabia,VR
Fiji,SEN,Senegal,ETA
Fiji,SRB,Serbia,VR
Fiji,SYC,Seychelles,ETA
Fiji,SLE,Sierra Leone,ETA
Fiji,SGP,Singapore,30
Fiji,SVK,Slovakia,VR
Fiji,SVN,Slovenia,VR
Fiji,SLB,Solomon Islands,ETA
Fiji,SOM,Somalia,ETA
Fiji,ZAF,South Africa,VR
Fiji,KOR,South Korea,30
Fiji,ESP,Spain,VR
Fiji,LKA,Sri Lanka,VOA
Fiji,SDN,Sudan,VR
Fiji,SUR,Suriname,ETA
Fiji,SWZ,Swaziland,VR
Fiji,SWE,Sweden,VR
Fiji,CHE,Switzerland,VR
Fiji,SYR,Syria,VR
Fiji,TWN,Taiwan,VR
Fiji,TJK,Tajikistan,VR
Fiji,TZA,Tanzania,ETA
Fiji,THA,Thailand,ETA
Fiji,TLS,Timor-Leste,ETA
Fiji,TGO,Togo,ETA
Fiji,TON,Tonga,ETA
Fiji,TTO,Trinidad and Tobago,VR
Fiji,TUN,Tunisia,90
Fiji,TUR,Turkey,ETA
Fiji,TKM,Turkmenistan,VR
Fiji,TUV,Tuvalu,ETA
Fiji,UGA,Uganda,90
Fiji,UKR,Ukraine,VR
Fiji,ARE,United Arab Emirates,VR
Fiji,GBR,UK,VR
Fiji,USA,USA,VR
Fiji,URY,Uruguay,VR
Fiji,UZB,Uzbekistan,ETA
Fiji,VUT,Vanuatu,30
Fiji,VAT,Vatican,VR
Fiji,VEN,Venezuela,VR
Fiji,VNM,Vietnam,ETA
Fiji,YEM,Yemen,VR
Fiji,ZMB,Zambia,90
Fiji,ZWE,Zimbabwe,90
Finland,AFG,Afghanistan,VR
Finland,ALB,Albania,90
Finland,DZA,Algeria,VR
Finland,AND,Andorra,VF
Finland,AGO,Angola,ETA
Finland,ATG,Antigua and Barbuda,180
Finland,ARG,Argentina,90
Finland,ARM,Armenia,180
Finland,AUS,Australia,VOA
Finland,AUT,Austria,VF
Finland,AZE,Azerbaijan,ETA
Finland,BHS,Bahamas,90
Finland,BHR,Bahrain,ETA
Finland,BGD,Bangladesh,ETA
Finland,BRB,Barbados,90
Finland,BLR,Belarus,30
Finland,BEL,Belgium,VF
Finland,BLZ,Belize,VF
Finland,BEN,Benin,VR
Finland,BTN,Bhutan,VR
Finland,BOL,Bolivia,90
Finland,BIH,Bosnia and Herzegovina,90
Finland,BWA,Botswana,90
Finland,BRA,Brazil,90
Finland,BRN,Brunei,90
Finland,BGR,Bulgaria,VF
Finland,BFA,Burkina Faso,ETA
Finland,BDI,Burundi,VR
Finland,KHM,Cambodia,ETA
Finland,CMR,Cameroon,VR
Finland,CAN,Canada,VOA
Finland,CPV,Cape Verde,30
Finland,CAF,Central African Republic,VR
Finland,TCD,Chad,VR
Finland,CHL,Chile,90
Finland,CHN,China,VR
Finland,COL,Colombia,90
Finland,COM,Comoros,ETA
Finland,COG,Republic of Congo,VR
Finland,CRI,Costa Rica,90
Finland,HRV,Croatia,VF
Finland,CUB,Cuba,ETA
Finland,CYP,Cyprus,VF
Finland,CZE,Czech Republic,VF
Finland,COD,Democratic Republic of the Congo,VR
Finland,DNK,Denmark,VF
Finland,DJI,Djibouti,ETA
Finland,DOM,Dominican Republic,VF
Finland,ECU,Ecuador,90
Finland,EGY,Egypt,ETA
Finland,SLV,El Salvador,90
Finland,GNQ,Equatorial Guinea,VR
Finland,ERI,Eritrea,VR
Finland,EST,Estonia,VF
Finland,ETH,Ethiopia,ETA
Finland,FJI,Fiji,120
Finland,FRA,France,VF
Finland,GAB,Gabon,ETA
Finland,GMB,Gambia,90
Finland,GEO,Georgia,360
Finland,DEU,Germany,VF
Finland,GHA,Ghana,VR
Finland,GRC,Greece,VF
Finland,GRD,Grenada,90
Finland,GTM,Guatemala,90
Finland,GIN,Guinea,ETA
Finland,GUY,Guyana,90
Finland,HTI,Haiti,90
Finland,HND,Honduras,90
Finland,HKG,China:Hong Kong,90
Finland,HUN,Hungary,VF
Finland,ISL,Iceland,VF
Finland,IND,India,VOA
Finland,IDN,Indonesia,30
Finland,IRN,Iran,ETA
Finland,IRQ,Iraq,VR
Finland,IRL,Ireland,VF
Finland,ISR,Israel,90
Finland,ITA,Italy,VF
Finland,CIV,Ivory Coast,VOA
Finland,JAM,Jamaica,90
Finland,JPN,Japan,90
Finland,JOR,Jordan,ETA
Finland,KAZ,Kazakhstan,30
Finland,KEN,Kenya,ETA
Finland,KIR,Kiribati,120
Finland,KWT,Kuwait,ETA
Finland,KGZ,Kyrgyzstan,60
Finland,LAO,Laos,ETA
Finland,LVA,Latvia,VF
Finland,LBN,Lebanon,ETA
Finland,LSO,Lesotho,14
Finland,LBR,Liberia,VR
Finland,LBY,Libya,VR
Finland,LIE,Liechtenstein,VF
Finland,LTU,Lithuania,VF
Finland,LUX,Luxembourg,VF
Finland,MAC,China:Macao,90
Finland,MDG,Madagascar,ETA
Finland,MWI,Malawi,ETA
Finland,MYS,Malaysia,90
Finland,MDV,Maldives,ETA
Finland,MLI,Mali,VR
Finland,MLT,Malta,VF
Finland,MHL,Marshall Islands,90
Finland,MRT,Mauritania,ETA
Finland,MUS,Mauritius,90
Finland,MEX,Mexico,180
Finland,FSM,Micronesia,90
Finland,MDA,Moldova,90
Finland,MCO,Monaco,VF
Finland,MNG,Mongolia,ETA
Finland,MNE,Montenegro,90
Finland,MAR,Morocco,90
Finland,MOZ,Mozambique,ETA
Finland,MMR,Myanmar,ETA
Finland,NAM,Namibia,90
Finland,NRU,Nauru,VR
Finland,NPL,Nepal,ETA
Finland,NLD,Netherlands,VF
Finland,NZL,New Zealand,VOA
Finland,NIC,Nicaragua,90
Finland,NGA,Nigeria,ETA
Finland,PRK,North Korea,VR
Finland,MKD,Macedonia,90
Finland,NOR,Norway,VF
Finland,OMN,Oman,ETA
Finland,PAK,Pakistan,ETA
Finland,PLW,Palau,90
Finland,PAN,Panama,180
Finland,PNG,Papua New Guinea,ETA
Finland,PRY,Paraguay,90
Finland,PER,Peru,90
Finland,PHL,Philippines,30
Finland,POL,Poland,VF
Finland,PRT,Portugal,VF
Finland,QAT,Qatar,90
Finland,ROU,Romania,VF
Finland,RUS,Russia,VR
Finland,RWA,Rwanda,ETA
Finland,KNA,Saint Kitts and Nevis,90
Finland,LCA,Saint Lucia,90
Finland,VCT,Saint Vincent and the Grenadines,90
Finland,WSM,Samoa,90
Finland,SMR,San Marino,VF
Finland,STP,Sao Tome and Principe,15
Finland,SAU,Saudi Arabia,ETA
Finland,SEN,Senegal,90
Finland,SRB,Serbia,90
Finland,SYC,Seychelles,ETA
Finland,SLE,Sierra Leone,ETA
Finland,SGP,Singapore,90
Finland,SVK,Slovakia,VF
Finland,SVN,Slovenia,VF
Finland,SLB,Solomon Islands,90
Finland,SOM,Somalia,ETA
Finland,ZAF,South Africa,90
Finland,KOR,South Korea,90
Finland,ESP,Spain,VF
Finland,LKA,Sri Lanka,VOA
Finland,SDN,Sudan,VR
Finland,SUR,Suriname,ETA
Finland,SWZ,Swaziland,30
Finland,SWE,Sweden,VF
Finland,CHE,Switzerland,VF
Finland,SYR,Syria,VR
Finland,TWN,Taiwan,90
Finland,TJK,Tajikistan,ETA
Finland,TZA,Tanzania,ETA
Finland,THA,Thailand,30
Finland,TLS,Timor-Leste,90
Finland,TGO,Togo,ETA
Finland,TON,Tonga,90
Finland,TTO,Trinidad and Tobago,90
Finland,TUN,Tunisia,90
Finland,TUR,Turkey,90
Finland,TKM,Turkmenistan,VR
Finland,TUV,Tuvalu,90
Finland,UGA,Uganda,ETA
Finland,UKR,Ukraine,90
Finland,ARE,United Arab Emirates,90
Finland,GBR,UK,VF
Finland,USA,USA,VOA
Finland,URY,Uruguay,90
Finland,UZB,Uzbekistan,30
Finland,VUT,Vanuatu,90
Finland,VAT,Vatican,VF
Finland,VEN,Venezuela,90
Finland,VNM,Vietnam,15
Finland,YEM,Yemen,VR
Finland,ZMB,Zambia,ETA
Finland,ZWE,Zimbabwe,ETA
France,AFG,Afghanistan,VR
France,ALB,Albania,90
France,DZA,Algeria,VR
France,AND,Andorra,VF
France,AGO,Angola,ETA
France,ATG,Antigua and Barbuda,180
France,ARG,Argentina,90
France,ARM,Armenia,180
France,AUS,Australia,VOA
France,AUT,Austria,VF
France,AZE,Azerbaijan,ETA
France,BHS,Bahamas,90
France,BHR,Bahrain,ETA
France,BGD,Bangladesh,ETA
France,BRB,Barbados,90
France,BLR,Belarus,30
France,BEL,Belgium,VF
France,BLZ,Belize,VF
France,BEN,Benin,VR
France,BTN,Bhutan,VR
France,BOL,Bolivia,90
France,BIH,Bosnia and Herzegovina,90
France,BWA,Botswana,90
France,BRA,Brazil,90
France,BRN,Brunei,90
France,BGR,Bulgaria,VF
France,BFA,Burkina Faso,ETA
France,BDI,Burundi,VR
France,KHM,Cambodia,ETA
France,CMR,Cameroon,VR
France,CAN,Canada,VOA
France,CPV,Cape Verde,30
France,CAF,Central African Republic,VR
France,TCD,Chad,VR
France,CHL,Chile,90
France,CHN,China,VR
France,COL,Colombia,90
France,COM,Comoros,ETA
France,COG,Republic of Congo,VR
France,CRI,Costa Rica,90
France,HRV,Croatia,VF
France,CUB,Cuba,ETA
France,CYP,Cyprus,VF
France,CZE,Czech Republic,VF
France,COD,Democratic Republic of the Congo,VR
France,DNK,Denmark,VF
France,DJI,Djibouti,ETA
France,DOM,Dominican Republic,VF
France,ECU,Ecuador,90
France,EGY,Egypt,ETA
France,SLV,El Salvador,90
France,GNQ,Equatorial Guinea,VR
France,ERI,Eritrea,VR
France,EST,Estonia,VF
France,ETH,Ethiopia,ETA
France,FJI,Fiji,120
France,FIN,Finland,VF
France,GAB,Gabon,ETA
France,GMB,Gambia,90
France,GEO,Georgia,360
France,DEU,Germany,VF
France,GHA,Ghana,VR
France,GRC,Greece,VF
France,GRD,Grenada,90
France,GTM,Guatemala,90
France,GIN,Guinea,ETA
France,GUY,Guyana,90
France,HTI,Haiti,90
France,HND,Honduras,90
France,HKG,China:Hong Kong,90
France,HUN,Hungary,VF
France,ISL,Iceland,VF
France,IND,India,VOA
France,IDN,Indonesia,30
France,IRN,Iran,ETA
France,IRQ,Iraq,VR
France,IRL,Ireland,VF
France,ISR,Israel,90
France,ITA,Italy,VF
France,CIV,Ivory Coast,VOA
France,JAM,Jamaica,30
France,JPN,Japan,90
France,JOR,Jordan,ETA
France,KAZ,Kazakhstan,30
France,KEN,Kenya,ETA
France,KIR,Kiribati,120
France,KWT,Kuwait,ETA
France,KGZ,Kyrgyzstan,60
France,LAO,Laos,ETA
France,LVA,Latvia,VF
France,LBN,Lebanon,ETA
France,LSO,Lesotho,14
France,LBR,Liberia,VR
France,LBY,Libya,VR
France,LIE,Liechtenstein,VF
France,LTU,Lithuania,VF
France,LUX,Luxembourg,VF
France,MAC,China:Macao,90
France,MDG,Madagascar,ETA
France,MWI,Malawi,ETA
France,MYS,Malaysia,90
France,MDV,Maldives,ETA
France,MLI,Mali,VR
France,MLT,Malta,VF
France,MHL,Marshall Islands,90
France,MRT,Mauritania,ETA
France,MUS,Mauritius,90
France,MEX,Mexico,120
France,FSM,Micronesia,90
France,MDA,Moldova,90
France,MCO,Monaco,VF
France,MNG,Mongolia,VR
France,MNE,Montenegro,90
France,MAR,Morocco,90
France,MOZ,Mozambique,ETA
France,MMR,Myanmar,ETA
France,NAM,Namibia,90
France,NRU,Nauru,VR
France,NPL,Nepal,ETA
France,NLD,Netherlands,VF
France,NZL,New Zealand,VOA
France,NIC,Nicaragua,90
France,NGA,Nigeria,ETA
France,PRK,North Korea,VR
France,MKD,Macedonia,90
France,NOR,Norway,VF
France,OMN,Oman,ETA
France,PAK,Pakistan,VR
France,PLW,Palau,90
France,PAN,Panama,180
France,PNG,Papua New Guinea,ETA
France,PRY,Paraguay,90
France,PER,Peru,90
France,PHL,Philippines,30
France,POL,Poland,VF
